"RR","timestamp"
0.5625,1677680182.82812
0.546875,1677680183.375
0.546875,1677680183.92188
0.578125,1677680184.5
0.59375,1677680185.09375
0.671875,1677680185.76562
0.6875,1677680186.45312
0.625,1677680187.07812
0.609375,1677680187.6875
0.59375,1677680188.28125
0.59375,1677680188.875
0.609375,1677680189.48438
0.59375,1677680190.07812
0.546875,1677680198.875
0.546875,1677680199.42188
0.578125,1677680200
0.5625,1677680200.5625
0.5625,1677680201.125
0.578125,1677680201.70312
0.609375,1677680202.3125
0.65625,1677680202.96875
0.703125,1677680203.67188
0.65625,1677680204.32812
0.609375,1677680212.03125
0.578125,1677680212.60938
0.578125,1677680213.1875
0.59375,1677680213.78125
0.5625,1677680214.34375
0.5625,1677680214.90625
0.53125,1677680215.4375
0.515625,1677680215.95312
0.546875,1677680216.5
0.5625,1677680217.0625
0.640625,1677680217.70312
0.609375,1677680218.3125
0.578125,1677680218.89062
0.609375,1677680219.5
0.65625,1677680220.15625
0.625,1677680220.78125
0.59375,1677680221.375
0.625,1677680230.54688
0.59375,1677680231.14062
0.609375,1677680231.75
0.578125,1677680232.32812
0.578125,1677680232.90625
0.546875,1677680233.45312
0.53125,1677680233.98438
0.546875,1677680234.53125
0.53125,1677680235.0625
0.578125,1677680235.64062
0.578125,1677680236.21875
0.5625,1677680236.78125
0.5625,1677680237.34375
0.5625,1677680237.90625
0.59375,1677680238.5
0.609375,1677680239.10938
0.640625,1677680239.75
0.59375,1677680240.34375
0.5625,1677680240.90625
0.5625,1677680241.46875
0.546875,1677680242.01562
0.578125,1677680242.59375
0.578125,1677680243.17188
0.5625,1677680243.73438
0.578125,1677680244.3125
0.5625,1677680244.875
0.578125,1677680245.45312
0.625,1677680246.07812
0.609375,1677680246.6875
0.5625,1677680247.25
0.578125,1677680247.82812
0.578125,1677680248.40625
0.609375,1677680249.01562
0.59375,1677680249.60938
0.5625,1677680250.17188
0.5625,1677680250.73438
0.5625,1677680251.29688
0.546875,1677680251.84375
0.53125,1677680252.375
0.5625,1677680252.9375
0.59375,1677680253.53125
0.546875,1677680254.07812
0.546875,1677680254.625
0.546875,1677680255.17188
0.53125,1677680255.70312
0.546875,1677680256.25
0.546875,1677680256.79688
0.546875,1677680257.34375
0.546875,1677680257.89062
0.53125,1677680258.42188
0.546875,1677680258.96875
0.5625,1677680259.53125
0.5625,1677680260.09375
0.625,1677680260.71875
0.640625,1677680261.35938
0.640625,1677680262
0.59375,1677680262.59375
0.5625,1677680263.15625
0.546875,1677680263.70312
0.546875,1677680264.25
0.546875,1677680264.79688
0.59375,1677680265.39062
0.609375,1677680266
0.578125,1677680266.57812
0.546875,1677680267.125
0.5625,1677680267.6875
0.578125,1677680268.26562
0.609375,1677680268.875
0.609375,1677680269.48438
0.609375,1677680270.09375
0.59375,1677680270.6875
0.640625,1677680271.32812
0.640625,1677680271.96875
0.609375,1677680272.57812
0.5625,1677680273.14062
0.578125,1677680273.71875
0.578125,1677680274.29688
0.59375,1677680274.89062
0.59375,1677680275.48438
0.578125,1677680276.0625
0.578125,1677680276.64062
0.59375,1677680277.23438
0.59375,1677680277.82812
0.609375,1677680278.4375
0.578125,1677680279.01562
0.5625,1677680279.57812
0.578125,1677680280.15625
0.578125,1677680280.73438
0.578125,1677680281.3125
0.59375,1677680281.90625
0.5625,1677680282.46875
0.5625,1677680283.03125
0.546875,1677680283.57812
0.53125,1677680284.10938
0.546875,1677680284.65625
0.546875,1677680285.20312
0.515625,1677680285.71875
0.53125,1677680286.25
0.53125,1677680286.78125
0.546875,1677680287.32812
0.5625,1677680287.89062
0.59375,1677680288.48438
0.578125,1677680289.0625
0.546875,1677680289.60938
0.578125,1677680290.1875
0.578125,1677680290.76562
0.578125,1677680291.34375
0.5625,1677680291.90625
0.546875,1677680292.45312
0.546875,1677680293
0.53125,1677680293.53125
0.546875,1677680294.07812
0.5625,1677680294.64062
0.578125,1677680295.21875
0.546875,1677680295.76562
0.546875,1677680296.3125
0.5625,1677680296.875
0.59375,1677680297.46875
0.65625,1677680298.125
0.6875,1677680298.8125
0.625,1677680299.4375
0.59375,1677680300.03125
0.59375,1677680300.625
0.59375,1677680301.21875
0.59375,1677680301.8125
0.59375,1677680302.40625
0.5625,1677680302.96875
0.5625,1677680303.53125
0.578125,1677680304.10938
0.59375,1677680304.70312
0.53125,1677680310.75
0.5625,1677680311.3125
0.640625,1677680311.95312
0.6875,1677680312.64062
0.671875,1677680313.3125
0.609375,1677680313.92188
0.609375,1677680314.53125
0.625,1677680315.15625
0.640625,1677680315.79688
0.625,1677680316.42188
0.59375,1677680317.01562
0.59375,1677680317.60938
0.578125,1677680318.1875
0.59375,1677680318.78125
0.609375,1677680319.39062
0.640625,1677680320.03125
0.609375,1677680320.64062
0.59375,1677680321.23438
0.59375,1677680321.82812
0.59375,1677680322.42188
0.59375,1677680323.01562
0.578125,1677680323.59375
0.578125,1677680324.17188
0.578125,1677680324.75
0.609375,1677680325.35938
0.625,1677680325.98438
0.625,1677680326.60938
0.578125,1677680327.1875
0.59375,1677680327.78125
0.59375,1677680328.375
0.59375,1677680328.96875
0.609375,1677680329.57812
0.578125,1677680330.15625
0.59375,1677680330.75
0.5625,1677680331.3125
0.578125,1677680331.89062
0.578125,1677680332.46875
0.578125,1677680333.04688
0.59375,1677680333.64062
0.578125,1677680334.21875
0.5625,1677680334.78125
0.5625,1677680335.34375
0.578125,1677680335.92188
0.578125,1677680336.5
0.546875,1677680337.04688
0.5625,1677680337.60938
0.546875,1677680338.15625
0.53125,1677680338.6875
0.546875,1677680339.23438
0.515625,1677680339.75
0.546875,1677680340.29688
0.546875,1677680340.84375
0.515625,1677680341.35938
0.53125,1677680341.89062
0.515625,1677680342.40625
0.546875,1677680342.95312
0.5625,1677680343.51562
0.5625,1677680344.07812
0.578125,1677680344.65625
0.546875,1677680345.20312
0.546875,1677680345.75
0.546875,1677680346.29688
0.578125,1677680346.875
0.546875,1677680347.42188
0.5625,1677680347.98438
0.546875,1677680348.53125
0.5625,1677680349.09375
0.53125,1677680349.625
0.546875,1677680350.17188
0.53125,1677680350.70312
0.5625,1677680351.26562
0.578125,1677680351.84375
0.59375,1677680352.4375
0.59375,1677680353.03125
0.609375,1677680353.64062
0.59375,1677680354.23438
0.625,1677680354.85938
0.609375,1677680355.46875
0.5625,1677680356.03125
0.5625,1677680356.59375
0.5625,1677680357.15625
0.53125,1677680357.6875
0.53125,1677680358.21875
0.515625,1677680358.73438
0.53125,1677680359.26562
0.5625,1677680359.82812
0.609375,1677680360.4375
0.640625,1677680361.07812
0.609375,1677680361.6875
0.65625,1677680362.34375
0.671875,1677680363.01562
0.75,1677680363.76562
0.703125,1677680364.46875
0.640625,1677680365.10938
0.609375,1677680365.71875
0.625,1677680366.34375
0.640625,1677680366.98438
0.640625,1677680367.625
0.59375,1677680368.21875
0.578125,1677680368.79688
0.578125,1677680369.375
0.609375,1677680369.98438
0.625,1677680370.60938
0.625,1677680371.23438
0.59375,1677680371.82812
0.59375,1677680372.42188
0.578125,1677680373
0.609375,1677680373.60938
0.625,1677680374.23438
0.609375,1677680374.84375
0.59375,1677680375.4375
0.578125,1677680376.01562
0.59375,1677680376.60938
0.59375,1677680377.20312
0.59375,1677680377.79688
0.5625,1677680378.35938
0.59375,1677680378.95312
0.59375,1677680379.54688
0.65625,1677680380.20312
0.625,1677680380.82812
0.59375,1677680381.42188
0.578125,1677680382
0.5625,1677680382.5625
0.578125,1677680383.14062
0.578125,1677680383.71875
0.5625,1677680384.28125
0.546875,1677680384.82812
0.546875,1677680385.375
0.546875,1677680385.92188
0.5625,1677680386.48438
0.546875,1677680387.03125
0.53125,1677680387.5625
0.53125,1677680388.09375
0.53125,1677680388.625
0.515625,1677680389.14062
0.53125,1677680389.67188
0.515625,1677680390.1875
0.53125,1677680390.71875
0.546875,1677680391.26562
0.578125,1677680391.84375
0.5625,1677680392.40625
0.546875,1677680392.95312
0.5625,1677680393.51562
0.578125,1677680394.09375
0.578125,1677680394.67188
0.609375,1677680395.28125
0.578125,1677680395.85938
0.5625,1677680396.42188
0.546875,1677680396.96875
0.546875,1677680397.51562
0.5625,1677680398.07812
0.546875,1677680398.625
0.53125,1677680399.15625
0.53125,1677680399.6875
0.53125,1677680400.21875
0.5,1677680400.71875
0.515625,1677680401.23438
0.515625,1677680401.75
0.53125,1677680402.28125
0.5625,1677680402.84375
0.578125,1677680403.42188
